0,1
0,2
1,3
1,4
2,5
2,7
3,6
3,8
4,5
4,9
5,12
5,13
6,10
6,11
7,14
7,15
8,16
8,17
8,18
9,10
9,20
10,11
10,20
11,1
11,2
12,3
12,4
13,5
13,7
14,6
14,8
15,5
15,9
16,12
16,13
17,10
17,11
18,14
18,15
19,16
19,17
19,18
20,10
20,20
21,11
21,20
22,1
22,2
23,3
23,4
24,5
24,7
25,6
25,8
26,5
26,9
27,12
27,13
28,10
28,11
29,14
29,15
30,16
30,17
30,18
31,10
31,20
32,11
32,20
33,1
33,2
34,3
34,4
35,5
35,7
36,6
36,8
37,5
37,9
38,12
38,13
39,10
39,11
40,14
40,15
41,16
41,17
41,18
42,10
42,20
43,11
43,20
44,1
44,2
45,3
45,4
46,5
46,7
47,6
47,8
48,5
48,9
49,12
49,13
50,10
50,11
51,14
51,15
52,16
52,17
52,18
53,10
53,20
54,11
54,20
55,1
55,2
56,3
56,4
57,5
57,7
58,6
58,8
59,5
59,9
60,12
60,13
61,10
61,11
62,14
62,15
63,16
63,17
63,18
64,10
64,20
65,11
65,20
66,1
66,2
67,3
67,4
68,5
68,7
69,6
69,8
70,5
70,9
71,12
71,13
72,10
72,11
73,14
73,15
74,16
74,17
74,18
75,10
75,20
76,11
76,20
77,1
77,2
78,3
78,4
79,5
79,7
80,6
80,8
81,5
81,9
82,12
82,13
83,10
83,11
84,14
84,15
85,16
85,17
85,18
86,10
86,20
87,11
87,20
88,1
88,2
89,3
89,4
90,5
90,7
91,6
91,8
92,5
92,9
93,12
93,13
94,10
94,11
95,14
95,15
96,16
96,17
96,18
97,10
97,20
98,11
98,20
99,1
99,2
100,3
100,4
101,5
101,7
102,6
102,8
103,5
103,9
104,12
104,13
105,10
105,11
106,14
106,15
107,16
107,17
107,18
108,10
108,20
109,11
109,20
110,1
110,2
111,3
111,4
112,5
112,7
113,6
113,8
114,5
114,9
115,12
115,13
116,10
116,11
117,14
117,15
118,16
118,17
118,18
119,10
119,20
120,11
120,20
121,1
121,2
122,3
122,4
123,5
123,7
124,6
124,8
125,5
125,9
126,12
126,13
127,10
127,11
128,14
128,15
129,16
129,17
129,18
130,10
130,20
131,11
131,20
132,1
132,2
133,3
133,4
134,5
134,7
135,6
135,8
136,5
136,9
137,12
137,13
138,10
138,11
139,14
139,15
140,16
140,17
140,18
141,10
141,20
142,11
142,20
143,1
143,2
144,3
144,4
145,5
145,7
146,6
146,8
147,5
147,9
148,12
148,13
149,10
149,11
150,14
150,15
151,16
151,17
151,18
152,10
152,20
153,11
153,20
154,1
154,2
155,3
155,4
156,5
156,7
157,6
157,8
158,5
158,9
159,12
159,13
160,10
160,11
161,14
161,15
162,16
162,17
162,18
163,10
163,20
164,11
164,20
165,1
165,2
166,3
166,4
167,5
167,7
168,6
168,8
169,5
169,9
170,12
170,13
171,10
171,11
172,14
172,15
173,16
173,17
173,18
174,10
174,20
175,11
175,20
176,1
176,2
177,3
177,4
178,5
178,7
179,6
179,8
180,5
180,9
181,12
181,13
182,10
182,11
183,14
183,15
184,16
184,17
184,18
185,10
185,20
186,11
186,20
187,1
187,2
188,3
188,4
189,5
189,7
190,6
190,8
191,5
191,9
192,12
192,13
193,10
193,11
194,14
194,15
195,16
195,17
195,18
196,10
196,20
197,11
197,20
198,1
198,2
199,3
199,4
200,5
200,7
201,6
201,8
202,5
202,9
203,12
203,13
204,10
204,11
205,14
205,15
206,16
206,17
206,18
207,10
207,20
208,11
208,20
209,1
209,2
210,3
210,4
211,5
211,7
212,6
212,8
213,5
213,9
214,12
214,13
215,10
215,11
216,14
216,15
217,16
217,17
217,18
218,10
218,20
219,11
219,20
